resume_text,job_role,education,category,education_requirement,soft_skills_user,required_soft_skills,hard_skills_user,required_hard_skills_user,matched_skills,skill_gap,match_score
"education: bachelor's in marketing experience: 8 years skills: financial analysis, communication, data analysis, problem solving, business acumen, collaboration, audit procedures, crm, target setting, market analysis",crm specialist,bachelor's in marketing,economy,bachelor's in marketing,"['collaboration', 'communication', 'problem solving', 'business acumen', 'target setting']","['communication', 'collaboration', 'problem solving']","['crm', 'data analysis', 'audit procedures', 'market analysis', 'financial analysis']","['crm', 'data analysis', 'excel']","['crm', 'collaboration', 'data analysis', 'communication', 'problem solving']",['excel'],0.87
"education: bachelor's in communication experience: 0 years skills: brand strategy, campaign management, financial modeling, creativity, strategic planning, adaptability",social media manager,bachelor's in communication,economy,bachelor's in communication,"['adaptability', 'creativity', 'strategic planning']","['creativity', 'storytelling', 'adaptability']","['campaign management', 'brand strategy', 'financial modeling']","['copywriting', 'brand strategy', 'campaign management']","['creativity', 'adaptability', 'campaign management', 'brand strategy']","['storytelling', 'copywriting']",0.73
"education: bachelor's in business administration experience: 7 years skills: business acumen, communication, copywriting, friendlinessorganization, market analysis, brand strategy, crm, quick thinking, negotiation, valuation, responsibility",business development executive,bachelor's in business administration,economy,bachelor's in business administration,"['communication', 'negotiation', 'business acumen', 'quick thinking', 'responsibility', 'friendlinessorganization']","['negotiation', 'business acumen', 'communication']","['market analysis', 'crm', 'brand strategy', 'valuation', 'copywriting']","['crm', 'market analysis', 'financial analysis']","['market analysis', 'crm', 'negotiation', 'communication', 'business acumen']",['financial analysis'],0.87
"education: bachelor's in software engineering experience: 5 years skills: critical thinking, java, sql, problem solving, php, collaboration, docker, python, team work",software engineer,bachelor's in software engineering,technology,bachelor's in software engineering,"['problem solving', 'team work', 'collaboration', 'critical thinking']","['critical thinking', 'team work', 'problem solving']","['java', 'python', 'sql', 'php', 'docker']","['python', 'java', 'sql']","['python', 'sql', 'critical thinking', 'java', 'team work', 'problem solving']",[],1.0
"education: bachelor's in mechanical engineering experience: 5 years skills: process design, storytelling, business acumen, decision making, thermal systems, matlab, problem solving, planning, autocad, responsibility, aerodynamics",hvac engineer,bachelor's in mechanical engineering,engineering,bachelor's in mechanical engineering,"['problem solving', 'planning', 'responsibility', 'business acumen', 'decision making', 'storytelling']","['planning', 'problem solving', 'responsibility']","['thermal systems', 'autocad', 'process design', 'matlab', 'aerodynamics']","['thermal systems', 'process design', 'autocad']","['process design', 'autocad', 'planning', 'responsibility', 'thermal systems', 'problem solving']",[],1.0
"education: bachelor's in computer engineering experience: 7 years skills: adaptability, attention to detail, microcontrollers, embedded systems, pcb design, circuit design, problem solving, cad, precision",embedded systems engineer,bachelor's in computer engineering,engineering,bachelor's in computer engineering,"['adaptability', 'attention to detail', 'precision', 'problem solving']","['problem solving', 'adaptability', 'analysis']","['circuit design', 'microcontrollers', 'embedded systems', 'pcb design', 'cad']","['embedded systems', 'microcontrollers', 'circuit design']","['embedded systems', 'adaptability', 'circuit design', 'problem solving', 'microcontrollers']",['analysis'],0.87
"education: bachelor's in mechatronics engineering experience: 6 years skills: strategic planning, aerodynamics, project management, communication, adaptability, embedded systems, analytical skills, electrical systems",mechatronics engineer,bachelor's in mechatronics engineering,engineering,bachelor's in mechatronics engineering,"['adaptability', 'communication', 'analytical skills', 'strategic planning', 'project management']","['problem solving', 'adaptability', 'communication']","['embedded systems', 'electrical systems', 'aerodynamics']","['embedded systems', 'electrical systems', 'microcontrollers']","['electrical systems', 'embedded systems', 'adaptability', 'communication']","['problem solving', 'microcontrollers']",0.73
"education: bachelor's in marketing experience: 5 years skills: content strategy, seo, tableau, analytics, project management, scrum, financial analysis, graphic design",content marketing manager,bachelor's in marketing,economy,bachelor's in marketing,['financial analysis'],"['communication', 'financial analysis', 'negotiation']",['seo'],['seo'],"['seo', 'financial analysis']","['communication', 'negotiation']",0.6
"education: bachelor's in fashion design experience: 7 years skills: negotiation, video production, creativity, graphic design, responsibility",brand designer,bachelor's in fashion design,creative_design,bachelor's in graphic design|creative design certification,"['negotiation', 'responsibility', 'creativity']","['creativity', 'negotiation', 'empathy']","['graphic design', 'video production']","['graphic design', 'adobe creative suite']","['graphic design', 'creativity', 'negotiation']","['empathy', 'adobe creative suite']",0.48
"education: bachelor's in mechanical engineering experience: 9 years skills: problem solving, responsibility, structural analysis, professionalism, autocad, planning, process design, circuit design, thermal systems",hvac engineer,bachelor's in mechanical engineering,engineering,bachelor's in mechanical engineering,"['planning', 'responsibility', 'problem solving', 'professionalism']","['planning', 'problem solving', 'responsibility']","['process design', 'thermal systems', 'autocad', 'circuit design', 'structural analysis']","['thermal systems', 'process design', 'autocad']","['process design', 'autocad', 'planning', 'responsibility', 'thermal systems', 'problem solving']",[],1.0
"education: master's in data science experience: 5 years skills: python, linux, tensorflow, professionalism, problem solving",data scientist,master's in data science,technology,master's in data science,"['problem solving', 'professionalism']","['analytical skills', 'problem solving', 'analysis']","['tensorflow', 'python', 'linux']","['python', 'tensorflow', 'sql']","['tensorflow', 'python', 'problem solving']","['sql', 'analytical skills', 'analysis']",0.6
"education: networking certification experience: 0 years skills: leadership, communication, rest api, react, cybersecurity, networking, professionalism, project management",network engineer,networking certification,technology,networking certification,"['communication', 'project management', 'leadership', 'professionalism']","['communication', 'quick thinking', 'responsibility']","['cybersecurity', 'networking', 'rest api', 'react']","['networking', 'linux', 'cybersecurity']","['networking', 'communication', 'cybersecurity']","['responsibility', 'linux', 'quick thinking']",0.6
"education: bachelor's in graphic design experience: 5 years skills: graphic design, texturing, professionalism, adobe creative suite, responsive design, communication, web design, motivation",fashion designer,bachelor's in graphic design,creative_design,bachelor's in fashion design|creative design certification,"['motivation', 'professionalism', 'communication']","['motivation', 'strategic thinking']","['graphic design', 'adobe creative suite', 'web design', 'responsive design', 'texturing']","['graphic design', 'adobe creative suite', 'rendering']","['motivation', 'graphic design', 'adobe creative suite']","['strategic thinking', 'rendering']",0.48
"education: diploma in legal studies experience: 7 years skills: awareness, project management, corporate law, policy knowledge, document preparation, public administration, team work, investigation",court administrator,diploma in legal studies,law_and_public_services,bachelor's in public administration|diploma in legal studies,"['team work', 'awareness', 'project management']","['team work', 'planning']","['document preparation', 'investigation', 'policy knowledge', 'corporate law', 'public administration']","['document preparation', 'public administration', 'case documentation']","['team work', 'document preparation', 'public administration']","['case documentation', 'planning']",0.68
"education: bachelor's in aerospace engineering experience: 0 years skills: team work, problem solving, technical drawing, ethics, autocad, matlab, precision, critical thinking, cad, aerodynamics, microcontrollers",aerospace engineer,bachelor's in aerospace engineering,engineering,bachelor's in aerospace engineering,"['problem solving', 'precision', 'ethics', 'critical thinking', 'team work']","['critical thinking', 'problem solving', 'precision']","['technical drawing', 'aerodynamics', 'matlab', 'autocad', 'microcontrollers', 'cad']","['aerodynamics', 'matlab', 'technical drawing']","['technical drawing', 'precision', 'matlab', 'critical thinking', 'aerodynamics', 'problem solving']",[],1.0
"education: bachelor's in marketing experience: 2 years skills: storytelling, problem solving, awareness, data analysis, attention to detail, analysis, financial analysis, creativity, crm, copywriting",seo specialist,bachelor's in marketing,economy,bachelor's in marketing,"['analysis', 'creativity', 'attention to detail', 'awareness', 'storytelling', 'problem solving']","['analysis', 'creativity', 'attention to detail']","['data analysis', 'copywriting', 'crm', 'financial analysis']","['seo', 'data analysis', 'copywriting']","['attention to detail', 'copywriting', 'creativity', 'data analysis', 'analysis']",['seo'],0.87
"education: public service certification experience: 8 years skills: investigation, business acumen, judgment, litigation, criminal law",prosecutor,public service certification,law_and_public_services,bachelor's in law|law certification,"['business acumen', 'judgment']","['judgment', 'ethics']","['criminal law', 'investigation', 'litigation']","['litigation', 'criminal law']","['judgment', 'litigation', 'criminal law']",['ethics'],0.6
"education: bachelor's in law experience: 10 years skills: policy knowledge, business acumen, emergency response, problem solving, legal drafting",disaster management officer,bachelor's in law,law_and_public_services,bachelor's in public administration|public service certification,"['business acumen', 'problem solving']","['problem solving', 'strategic planning']","['policy knowledge', 'emergency response', 'legal drafting']","['emergency response', 'policy knowledge', 'public administration']","['policy knowledge', 'emergency response', 'problem solving']","['public administration', 'strategic planning']",0.48
"education: bachelor's in multimedia experience: 7 years skills: negotiation, adobe creative suite, video production, teamwork, planning, prototyping",videographer,bachelor's in multimedia,creative_design,diploma in multimedia design|creative design certification,"['negotiation', 'planning', 'teamwork']","['negotiation', 'planning', 'decision making']","['adobe creative suite', 'prototyping', 'video production']","['video production', 'adobe creative suite', 'lighting']","['planning', 'video production', 'negotiation', 'adobe creative suite']","['decision making', 'lighting']",0.53
"education: bachelor's in accounting experience: 5 years skills: responsibility, attention to detail, campaign management, accounting, excel, financial analysis, creativity",accountant,bachelor's in accounting,economy,bachelor's in accounting,"['attention to detail', 'responsibility', 'creativity']","['attention to detail', 'precision', 'responsibility']","['excel', 'financial analysis', 'accounting', 'campaign management']","['accounting', 'excel', 'financial analysis']","['excel', 'responsibility', 'attention to detail', 'accounting', 'financial analysis']",['precision'],0.87
"education: bachelor's in fashion design experience: 8 years skills: critical thinking, texturing, strategic thinking, communication, storytelling, ux design, precision, adobe creative suite",game artist,bachelor's in fashion design,creative_design,bachelor's in multimedia|creative design certification,"['strategic thinking', 'critical thinking', 'communication', 'precision', 'storytelling']","['communication', 'storytelling', 'team work']","['adobe creative suite', 'texturing', 'ux design']","['texturing', 'animation']","['storytelling', 'communication', 'texturing']","['team work', 'animation']",0.48
"education: bachelor's in cybersecurity experience: 8 years skills: tensorflow, communication, ethics, linux, php, cybersecurity, critical thinking, networking, negotiation",security engineer,bachelor's in cybersecurity,technology,bachelor's in cybersecurity,"['critical thinking', 'ethics', 'negotiation', 'communication']","['critical thinking', 'judgment', 'awareness']","['linux', 'cybersecurity', 'networking', 'php', 'tensorflow']","['cybersecurity', 'linux', 'networking']","['networking', 'linux', 'critical thinking', 'cybersecurity']","['judgment', 'awareness']",0.73
"education: bachelor's in mechatronics engineering experience: 8 years skills: structural analysis, vehicle systems, awareness, adaptability, process design, electrical systems, microcontrollers, communication, ethics, problem solving",mechatronics engineer,bachelor's in mechatronics engineering,engineering,bachelor's in mechatronics engineering,"['adaptability', 'problem solving', 'communication', 'ethics', 'awareness']","['problem solving', 'adaptability', 'communication']","['microcontrollers', 'electrical systems', 'vehicle systems', 'process design', 'structural analysis']","['embedded systems', 'electrical systems', 'microcontrollers']","['adaptability', 'microcontrollers', 'electrical systems', 'communication', 'problem solving']",['embedded systems'],0.87
"education: bachelor's in criminology experience: 1 years skills: target setting, fire fighting, analysis, motivation, collaboration, corporate law, legal drafting, criminal law, empathy, investigation",forensic investigator,bachelor's in criminology,law_and_public_services,bachelor's in criminology|public service certification,"['analysis', 'empathy', 'collaboration', 'target setting', 'motivation']","['empathy', 'motivation', 'adaptability', 'planning']","['investigation', 'legal drafting', 'corporate law', 'fire fighting', 'criminal law']","['investigation', 'criminal law']","['motivation', 'empathy', 'criminal law', 'investigation']","['adaptability', 'planning']",0.73
"education: bachelor's in fashion design experience: 0 years skills: video production, wireframing, project management, empathy, texturing, ux design, problem solving, storytelling, ui design, figma",ux designer,bachelor's in fashion design,creative_design,bachelor's in visual communication design|bachelor's in multimedia,"['storytelling', 'empathy', 'problem solving', 'project management']","['storytelling', 'empathy', 'quick thinking']","['ux design', 'ui design', 'video production', 'figma', 'texturing', 'wireframing']","['wireframing', 'ux design', 'figma', 'prototyping']","['empathy', 'wireframing', 'figma', 'storytelling', 'ux design']","['prototyping', 'quick thinking']",0.57
"education: bachelor's in software engineering experience: 9 years skills: node.js, attention to detail, awareness, teamwork, javascript, creativity, react, python",react developer,bachelor's in software engineering,technology,bachelor's in software engineering,"['attention to detail', 'teamwork', 'creativity', 'awareness']","['creativity', 'teamwork', 'attention to detail']","['react', 'node.js', 'javascript', 'python']","['react', 'javascript', 'node.js']","['node.js', 'attention to detail', 'react', 'creativity', 'teamwork', 'javascript']",[],1.0
"education: bachelor's in manufacturing engineering experience: 3 years skills: problem solving, process design, cad, database design, quality control, php, equipment knowledge, production planning",manufacturing engineer,bachelor's in manufacturing engineering,engineering,bachelor's in manufacturing engineering,['production planning'],['production planning'],"['process design', 'cad']","['cad', 'process design']","['production planning', 'process design', 'cad']",[],1.0
"education: bachelor's in cybersecurity experience: 5 years skills: awareness, rest api, collaboration, critical thinking, linux, cybersecurity",cybersecurity specialist,bachelor's in cybersecurity,technology,bachelor's in cybersecurity,"['critical thinking', 'awareness', 'collaboration']","['awareness', 'judgment', 'critical thinking']","['cybersecurity', 'linux', 'rest api']","['cybersecurity', 'networking', 'linux']","['awareness', 'linux', 'critical thinking', 'cybersecurity']","['networking', 'judgment']",0.73
"education: public service certification experience: 9 years skills: public speaking, emergency response, litigation, ethics, criminal law, attention to detail, collaboration",prosecutor,public service certification,law_and_public_services,bachelor's in law|law certification,"['public speaking', 'attention to detail', 'collaboration', 'ethics']","['ethics', 'collaboration', 'attention to detail', 'project management']","['criminal law', 'emergency response', 'litigation']","['criminal law', 'case documentation']","['criminal law', 'collaboration', 'ethics', 'attention to detail']","['project management', 'case documentation']",0.53
"education: bachelor's in mechatronics engineering experience: 8 years skills: embedded systems, electrical systems, communication, adaptability, problem solving, ethics, matlab",mechatronics engineer,bachelor's in mechatronics engineering,engineering,bachelor's in mechatronics engineering,"['adaptability', 'communication', 'problem solving', 'ethics']","['problem solving', 'adaptability', 'communication']","['electrical systems', 'embedded systems', 'matlab']","['embedded systems', 'electrical systems', 'microcontrollers']","['embedded systems', 'adaptability', 'electrical systems', 'communication', 'problem solving']",['microcontrollers'],0.87
"education: bachelor's in mechanical engineering experience: 9 years skills: adaptability, thermal systems, microcontrollers, cad, aerodynamics, vehicle systems, teamwork, building codes, team work",automotive engineer,bachelor's in mechanical engineering,engineering,bachelor's in mechanical engineering,"['teamwork', 'adaptability', 'team work']","['analysis', 'teamwork', 'adaptability']","['vehicle systems', 'cad', 'thermal systems', 'aerodynamics', 'microcontrollers', 'building codes']","['vehicle systems', 'cad', 'thermal systems']","['vehicle systems', 'adaptability', 'cad', 'thermal systems', 'teamwork']",['analysis'],0.87
"education: bachelor's in business administration experience: 9 years skills: audit procedures, analytical skills, financial analysis, friendlinessorganization, communication, crm, statistics, target setting, leadership, market analysis",sales manager,bachelor's in business administration,economy,bachelor's in business administration,"['leadership', 'target setting', 'communication', 'friendlinessorganization', 'analytical skills']","['leadership', 'target setting', 'communication']","['crm', 'financial analysis', 'market analysis', 'statistics', 'audit procedures']","['crm', 'market analysis', 'financial analysis']","['market analysis', 'crm', 'leadership', 'communication', 'financial analysis', 'target setting']",[],1.0
"education: bachelor's in business administration experience: 0 years skills: crm, negotiation, excel, financial analysis, responsibility",sales executive,bachelor's in business administration,economy,bachelor's in business administration,"['negotiation', 'responsibility']","['negotiation', 'communication', 'motivation']","['excel', 'crm', 'financial analysis']","['crm', 'market analysis', 'excel']","['crm', 'negotiation', 'excel']","['communication', 'market analysis', 'motivation']",0.6
"education: bachelor's in finance experience: 0 years skills: motivation, analysis, professionalism, excel, brand strategy, financial analysis, decision making",finance officer,bachelor's in finance,economy,bachelor's in finance,"['professionalism', 'analysis', 'decision making', 'motivation']","['professionalism', 'analysis', 'decision making']","['financial analysis', 'excel', 'brand strategy']","['financial analysis', 'excel', 'accounting']","['professionalism', 'decision making', 'excel', 'financial analysis', 'analysis']",['accounting'],0.87
"education: bachelor's in robotics engineering experience: 2 years skills: embedded systems, microcontrollers, critical thinking, matlab, awareness, strategic thinking, structural analysis, quick thinking",robotics engineer,bachelor's in robotics engineering,engineering,bachelor's in robotics engineering,"['strategic thinking', 'awareness', 'quick thinking', 'critical thinking']","['creativity', 'problem solving', 'strategic thinking']","['embedded systems', 'matlab', 'microcontrollers', 'structural analysis']","['embedded systems', 'microcontrollers', 'matlab']","['embedded systems', 'strategic thinking', 'matlab', 'microcontrollers']","['creativity', 'problem solving']",0.73
"education: bachelor's in accounting experience: 10 years skills: excel, market analysis, valuation, budget control, financial modeling, brand strategy, accounting, analysis",controller,bachelor's in accounting,economy,bachelor's in accounting|master's in finance,"['budget control', 'analysis']","['leadership', 'budget control', 'precision']","['financial modeling', 'accounting', 'excel', 'market analysis', 'valuation', 'brand strategy']","['accounting', 'financial modeling', 'excel']","['financial modeling', 'excel', 'budget control', 'accounting']","['leadership', 'precision']",0.73
"education: bachelor's in computer science experience: 1 years skills: rest api, java, xml, p&l management, android sdk, encryption, mobile design, kotlin",mobile developer android,bachelor's in computer science,technology,bachelor's in computer science,"['teamwork', 'critical thinking', 'adaptability']","['teamwork', 'critical thinking', 'problem solving']","['rest api', 'java']","['rest api', 'java']","['teamwork', 'rest api', 'critical thinking', 'java']",['problem solving'],0.84
"education: diploma in it experience: 4 years skills: javascript, html, ui/ux design, react, market research, vue.js, css, deep learning",frontend developer,diploma in information technology,technology,bachelor's in computer science,"['problem solving', 'teamwork']","['teamwork', 'adaptability']","['react', 'javascript']","['react', 'javascript']","['react', 'teamwork', 'javascript']",['adaptability'],0.6
"education: diploma in multimedia design experience: 6 years skills: web design, problem solving, negotiation, critical thinking, video production, time management, team work, adobe creative suite, judgment, prototyping",videographer,diploma in multimedia design,creative_design,diploma in multimedia design|creative design certification,"['critical thinking', 'time management', 'problem solving', 'negotiation', 'team work', 'judgment']","['time management', 'judgment', 'critical thinking', 'decision making']","['adobe creative suite', 'prototyping', 'web design', 'video production']","['adobe creative suite', 'video production', 'lighting']","['adobe creative suite', 'judgment', 'critical thinking', 'time management', 'video production']","['decision making', 'lighting']",0.77
"education: public service certification experience: 9 years skills: communication, project management, corporate law, adaptability, regulatory compliance, strategic planning, public administration",public administrator,public service certification,law_and_public_services,bachelor's in public administration|public service certification,"['adaptability', 'communication', 'project management', 'strategic planning']","['strategic planning', 'professionalism']","['public administration', 'corporate law', 'regulatory compliance']","['regulatory compliance', 'public administration', 'policy knowledge']","['public administration', 'strategic planning', 'regulatory compliance']","['professionalism', 'policy knowledge']",0.68
"education: bachelor's in software engineering experience: 7 years skills: professionalism, rest api, problem solving, team work, attention to detail, node.js, react, javascript, creativity, tensorflow, teamwork, python",react developer,bachelor's in software engineering,technology,bachelor's in software engineering,"['creativity', 'attention to detail', 'teamwork', 'problem solving', 'team work', 'professionalism']","['creativity', 'teamwork', 'attention to detail']","['javascript', 'react', 'node.js', 'tensorflow', 'python', 'rest api']","['react', 'javascript', 'node.js']","['node.js', 'attention to detail', 'react', 'creativity', 'teamwork', 'javascript']",[],1.0
"education: bachelor's in visual communication design experience: 0 years skills: critical thinking, problem solving, negotiation, 3d modeling, friendlinessorganization, animation, professionalism, adobe creative suite, business acumen",motion graphic designer,bachelor's in visual communication design,creative_design,bachelor's in multimedia|creative design certification,"['critical thinking', 'problem solving', 'negotiation', 'business acumen', 'friendlinessorganization', 'professionalism']","['negotiation', 'critical thinking', 'problem solving', 'decision making']","['adobe creative suite', '3d modeling', 'animation']","['animation', 'adobe creative suite', 'video production']","['animation', 'adobe creative suite', 'critical thinking', 'negotiation', 'problem solving']","['decision making', 'video production']",0.57
"education: bachelor's in paralegal studies experience: 0 years skills: organization, data analysis, legal research, serverless, attention to detail, perl, communication, legal knowledge",paralegal,bachelor's in paralegal studies,law_and_public_services,bachelor's in paralegal studies,['data analysis'],"['data analysis', 'public speaking']","['document preparation', 'legal research']","['document preparation', 'legal research']","['data analysis', 'document preparation', 'legal research']",['public speaking'],0.8
"education: bachelor's in fashion design experience: 1 years skills: responsibility, professionalism, public speaking, prototyping, ux design, 3d modeling, friendlinessorganization, animation",interior designer,bachelor's in fashion design,creative_design,bachelor's in interior design|creative design certification,"['friendlinessorganization', 'responsibility', 'public speaking', 'professionalism']","['responsibility', 'team work']","['ux design', 'prototyping', '3d modeling', 'animation']","['3d modeling', 'lighting']","['responsibility', '3d modeling']","['team work', 'lighting']",0.4
"education: bachelor's in business experience: 4 years skills: product strategy, web design, positioning, campaign management, ios, messaging, web accessibility, security architecture",product marketing manager,bachelor's in business,economy,bachelor's in marketing,"['planning', 'decision making']","['decision making', 'communication', 'strategic thinking', 'planning']",['campaign management'],['campaign management'],"['decision making', 'campaign management', 'planning']","['communication', 'strategic thinking']",0.48
"education: bachelor's in marketing experience: 8 years skills: attention to detail, brand strategy, accounting, strategic thinking, market analysis, crm, professionalism, adaptability",marketing director,bachelor's in marketing,economy,bachelor's in marketing|master's in business administration,"['strategic thinking', 'adaptability', 'attention to detail', 'professionalism']","['leadership', 'strategic thinking', 'public speaking']","['brand strategy', 'market analysis', 'crm', 'accounting']","['brand strategy', 'campaign management', 'market analysis']","['brand strategy', 'strategic thinking', 'market analysis']","['campaign management', 'leadership', 'public speaking']",0.6
"education: bachelor's in communication experience: 4 years skills: campaign management, project management, responsibility, motivation, market analysis, copywriting, storytelling, brand strategy, seo",social media manager,bachelor's in communication,economy,bachelor's in communication,"['storytelling', 'responsibility', 'motivation', 'project management']","['creativity', 'storytelling', 'adaptability']","['brand strategy', 'copywriting', 'campaign management', 'seo', 'market analysis']","['copywriting', 'brand strategy', 'campaign management']","['copywriting', 'campaign management', 'brand strategy', 'storytelling']","['adaptability', 'creativity']",0.73
"education: bachelor's in public administration experience: 9 years skills: legal drafting, patent law, leadership, team work, legal research, case documentation, creativity, strategic planning",patent attorney,bachelor's in public administration,law_and_public_services,bachelor's in law|law certification,"['team work', 'leadership', 'creativity', 'strategic planning']","['creativity', 'judgment', 'project management']","['legal research', 'patent law', 'case documentation', 'legal drafting']","['patent law', 'legal research']","['creativity', 'patent law', 'legal research']","['judgment', 'project management']",0.48
"education: bachelor's in marketing experience: 2 years skills: platform knowledge, app testing, content creation, copywriting, adobe creative suite, gcp, jenkins, social media strategy",social media manager,bachelor's in marketing,economy,bachelor's in marketing,"['communication', 'business acumen', 'strategic thinking']","['communication', 'strategic thinking', 'business acumen']",['copywriting'],['copywriting'],"['copywriting', 'communication', 'strategic thinking', 'business acumen']",[],1.0
"education: bachelor's in mechatronics engineering experience: 2 years skills: problem solving, precision, microcontrollers, autocad, circuit design, electrical systems, aerodynamics, embedded systems, responsibility",mechatronics engineer,bachelor's in mechatronics engineering,engineering,bachelor's in mechatronics engineering,"['problem solving', 'responsibility', 'precision']","['problem solving', 'adaptability', 'communication']","['microcontrollers', 'embedded systems', 'electrical systems', 'aerodynamics', 'autocad', 'circuit design']","['embedded systems', 'electrical systems', 'microcontrollers']","['electrical systems', 'embedded systems', 'problem solving', 'microcontrollers']","['adaptability', 'communication']",0.73
"education: bachelor's in information technology experience: 10 years skills: react, target setting, rest api, precision, teamwork, sql, javascript",qa engineer,bachelor's in information technology,technology,bachelor's in information technology,"['precision', 'target setting', 'teamwork']","['attention to detail', 'precision', 'responsibility']","['rest api', 'sql', 'javascript', 'react']","['sql', 'javascript', 'rest api']","['sql', 'rest api', 'precision', 'javascript']","['responsibility', 'attention to detail']",0.73
"education: bachelor's in marketing experience: 1 years skills: campaign management, crm, valuation, communication, creativity, friendlinessorganization, strategic thinking, copywriting, attention to detail",email marketing specialist,bachelor's in marketing,economy,bachelor's in marketing,"['creativity', 'attention to detail', 'communication', 'friendlinessorganization', 'strategic thinking']","['communication', 'creativity', 'attention to detail']","['campaign management', 'copywriting', 'valuation', 'crm']","['copywriting', 'crm', 'campaign management']","['crm', 'campaign management', 'attention to detail', 'copywriting', 'creativity', 'communication']",[],1.0
"education: bachelor's in industrial engineering experience: 4 years skills: cad, thermal systems, process design, embedded systems, planning, problem solving, statistics, building codes",industrial engineer,bachelor's in industrial engineering,engineering,bachelor's in industrial engineering,"['planning', 'problem solving']","['leadership', 'planning', 'decision making']","['cad', 'statistics', 'process design', 'embedded systems', 'thermal systems', 'building codes']","['process design', 'cad', 'statistics']","['cad', 'process design', 'statistics', 'planning']","['decision making', 'leadership']",0.73
"education: bachelor's in mechanical engineering experience: 8 years skills: structural analysis, problem solving, planning, microcontrollers, public speaking, ethics, process design, thermal systems, responsibility, autocad, building codes, analysis",hvac engineer,bachelor's in mechanical engineering,engineering,bachelor's in mechanical engineering,"['responsibility', 'planning', 'problem solving', 'public speaking', 'ethics', 'analysis']","['planning', 'problem solving', 'responsibility']","['process design', 'thermal systems', 'autocad', 'microcontrollers', 'building codes', 'structural analysis']","['thermal systems', 'process design', 'autocad']","['process design', 'autocad', 'planning', 'responsibility', 'thermal systems', 'problem solving']",[],1.0
"education: bachelor's in chemical engineering experience: 5 years skills: circuit design, electrical systems, matlab, vehicle systems, problem solving, cad, process design, analysis, business acumen",process engineer,bachelor's in chemical engineering,engineering,bachelor's in chemical engineering,"['analysis', 'business acumen', 'problem solving']","['analysis', 'planning', 'problem solving']","['process design', 'cad', 'matlab', 'circuit design', 'vehicle systems', 'electrical systems']","['process design', 'cad', 'matlab']","['process design', 'cad', 'matlab', 'analysis', 'problem solving']",['planning'],0.87
"education: bachelor's in communication experience: 9 years skills: python, copywriting, attention to detail, creativity, brand strategy, financial analysis, campaign management",social media manager,bachelor's in communication,economy,bachelor's in communication,"['creativity', 'attention to detail']","['creativity', 'storytelling', 'adaptability']","['campaign management', 'copywriting', 'brand strategy', 'financial analysis', 'python']","['copywriting', 'brand strategy', 'campaign management']","['copywriting', 'campaign management', 'creativity', 'brand strategy']","['storytelling', 'adaptability']",0.73
"education: bachelor's in graphic design experience: 7 years skills: critical thinking, video production, animation, business acumen, ux design",motion graphic designer,bachelor's in graphic design,creative_design,bachelor's in multimedia|creative design certification,"['critical thinking', 'business acumen']","['critical thinking', 'project management']","['ux design', 'video production', 'animation']","['animation', 'video production', 'adobe creative suite']","['critical thinking', 'animation', 'video production']","['project management', 'adobe creative suite']",0.48
"education: bachelor's in graphic design experience: 6 years skills: ui design, adobe creative suite, critical thinking, budget control, video production, collaboration",copywriter,bachelor's in graphic design,creative_design,bachelor's in multimedia|creative design certification,"['critical thinking', 'collaboration', 'budget control']","['critical thinking', 'budget control', 'communication']","['adobe creative suite', 'ui design', 'video production']","['video production', 'adobe creative suite', 'graphic design']","['video production', 'critical thinking', 'budget control', 'adobe creative suite']","['communication', 'graphic design']",0.53
"education: law certification experience: 9 years skills: negotiation, awareness, policy knowledge, public administration, judgment, legal research, quick thinking, legal drafting",policy analyst,law certification,law_and_public_services,bachelor's in political science|bachelor's in public administration,"['quick thinking', 'negotiation', 'judgment', 'awareness']","['awareness', 'collaboration', 'empathy']","['legal research', 'policy knowledge', 'legal drafting']","['policy knowledge', 'public administration']","['policy knowledge', 'awareness']","['public administration', 'empathy', 'collaboration']",0.32
"education: bachelor's in engineering experience: 2 years skills: responsibility, process design, creativity, precision, cad, judgment, motivation, aerodynamics, attention to detail, pcb design",quality assurance engineer,bachelor's in engineering,engineering,bachelor's in engineering,"['attention to detail', 'precision', 'judgment', 'responsibility', 'motivation', 'creativity']","['attention to detail', 'precision', 'judgment']","['process design', 'cad', 'pcb design', 'aerodynamics']","['technical drawing', 'process design', 'cad']","['process design', 'cad', 'attention to detail', 'precision', 'judgment']",['technical drawing'],0.87
"education: bachelor's in aerospace engineering experience: 2 years skills: problem solving, structural analysis, aerodynamics, decision making, precision, building codes, responsibility, technical drawing",aerospace engineer,bachelor's in aerospace engineering,engineering,bachelor's in aerospace engineering,"['precision', 'problem solving', 'decision making', 'responsibility']","['critical thinking', 'problem solving', 'precision']","['aerodynamics', 'technical drawing', 'structural analysis', 'building codes']","['aerodynamics', 'matlab', 'technical drawing']","['aerodynamics', 'technical drawing', 'precision', 'problem solving']","['critical thinking', 'matlab']",0.73
"education: bachelor's in electronics engineering experience: 2 years skills: hardware, real-time systems, problem solving, microcontrollers, low-level programming, sql, decision making, marketing",embedded systems engineer,bachelor's in electronics engineering,engineering,bachelor's in electronics engineering,"['precision', 'critical thinking', 'attention to detail']","['teamwork', 'critical thinking', 'precision']",['microcontrollers'],['microcontrollers'],"['critical thinking', 'precision', 'microcontrollers']",['teamwork'],0.8
