resume_id,resume_text,skills,job_role,education,category,required_skills,education_requirement,soft_skills_user,hard_skills_user,soft_skills_req,hard_skills_req,soft_skills_match,hard_skills_match,match_score,skill_gap,matched_skills
r000842,"education: welding certification experience: 0 years skills: prototyping, problem solving, welding, shell scripting, adaptability, safety, precision, technical knowledge","['figma', 'problem solving', 'safety', 'adaptability', 'prototyping']",welder,welding certification,skilled trades,"['welding', 'safety', 'precision', 'technical knowledge', 'problem solving', 'physical stamina']",trade school|welding certification,"['problem solving', 'adaptability']","['prototyping', 'welding', 'shell scripting', 'safety', 'precision', 'technical knowledge', 'physical stamina', 'figma']",['problem solving'],"['welding', 'safety', 'precision', 'technical knowledge', 'physical stamina']",['problem solving'],"['precision', 'safety', 'technical knowledge', 'welding', 'physical stamina']",0.7333333333333334,"['technical knowledge', 'precision', 'physical stamina', 'welding']","['safety', 'problem solving']"
r000843,"education: high school experience: 1 years skills: customer service, docker, ci/cd, leadership, communication, team management, performance metrics, serverless","['communication', 'problem solving', 'customer service', 'serverless']",call center manager,high school,sales & customer service,"['team management', 'customer service', 'leadership', 'performance metrics', 'problem solving', 'communication']",high school|management experience,"['leadership', 'communication', 'problem solving']","['customer service', 'docker', 'ci/cd', 'team management', 'performance metrics', 'serverless']","['leadership', 'problem solving', 'communication']","['team management', 'customer service', 'performance metrics']","['leadership', 'communication', 'problem solving']","['customer service', 'team management', 'performance metrics']",0.7499999999999999,"['performance metrics', 'team management', 'leadership']","['customer service', 'communication', 'problem solving']"
r000844,"education: bachelor's in operations experience: 4 years skills: kotlin, erp systems, demand forecasting, statistical analysis, excel, css, mentoring, data analysis","['erp systems', 'demand forecasting', 'mentoring', 'kotlin', 'technical writing']",demand planner,bachelor's in operations,operations & supply chain,"['demand forecasting', 'statistical analysis', 'erp systems', 'supply planning', 'data analysis', 'excel']",bachelor's in operations|bachelor's in analytics,[],"['kotlin', 'erp systems', 'demand forecasting', 'statistical analysis', 'excel', 'css', 'mentoring', 'data analysis', 'supply planning', 'technical writing']",[],"['demand forecasting', 'statistical analysis', 'erp systems', 'supply planning', 'data analysis', 'excel']",[],"['demand forecasting', 'data analysis', 'erp systems', 'statistical analysis', 'excel', 'supply planning']",0.6,"['statistical analysis', 'supply planning', 'excel', 'data analysis']","['erp systems', 'demand forecasting']"
r000845,"education: bachelor's in logistics experience: 4 years skills: decision making, forecasting, procurement, analytics, shell scripting, user interface, supply chain strategy, technical writing","['technical writing', 'decision making', 'vendor management', 'forecasting', 'procurement']",supply chain manager,bachelor's in logistics,operations & supply chain,"['supply chain strategy', 'procurement', 'vendor management', 'forecasting', 'inventory management', 'analytics']",bachelor's in supply chain management|bachelor's in logistics,['decision making'],"['forecasting', 'procurement', 'analytics', 'shell scripting', 'user interface', 'supply chain strategy', 'technical writing', 'ci/cd', 'inventory management', 'vendor management']",[],"['supply chain strategy', 'procurement', 'vendor management', 'forecasting', 'inventory management', 'analytics']",[],"['inventory management', 'forecasting', 'analytics', 'vendor management', 'procurement', 'supply chain strategy']",0.6,"['supply chain strategy', 'analytics', 'inventory management']","['vendor management', 'forecasting', 'procurement']"
r000846,"education: high school experience: 2 years skills: graphql, problem solving, sales, store management, gcp, staff management, customer relations, inventory","['perl', 'store management', 'gcp', 'sales', 'graphql']",store manager,high school,retail & hospitality,"['store management', 'sales', 'staff management', 'inventory', 'customer relations', 'problem solving']",high school|leadership,['problem solving'],"['graphql', 'sales', 'store management', 'gcp', 'staff management', 'customer relations', 'inventory', 'perl', 'web accessibility', 'shell scripting']",['problem solving'],"['store management', 'sales', 'staff management', 'inventory', 'customer relations']",['problem solving'],"['sales', 'store management', 'inventory', 'customer relations', 'staff management']",0.7333333333333334,"['customer relations', 'problem solving', 'staff management', 'inventory']","['sales', 'store management']"
r000847,"education: bachelor's in electronics engineering experience: 3 years skills: c/c++, microcontrollers, real-time systems, android, go, low-level programming, embedded linux, network security","['low-level programming', 'microcontrollers', 'android', 'jira', 'hardware']",embedded systems engineer,bachelor's in electronics engineering,engineering & manufacturing,"['c/c++', 'embedded linux', 'hardware', 'microcontrollers', 'real-time systems', 'low-level programming']",bachelor's in electronics engineering|bachelor's in computer engineering,[],"['c/c++', 'microcontrollers', 'real-time systems', 'android', 'go', 'low-level programming', 'embedded linux', 'network security', 'hardware', 'jira', 'serverless']",[],"['c/c++', 'embedded linux', 'hardware', 'microcontrollers', 'real-time systems', 'low-level programming']",[],"['low-level programming', 'embedded linux', 'hardware', 'microcontrollers', 'real-time systems', 'c/c++']",0.6,"['real-time systems', 'embedded linux', 'c/c++']","['microcontrollers', 'hardware', 'low-level programming']"
r000848,"education: pharmacy license experience: 1 years skills: patient counseling, accuracy, drug interactions, deep learning, jira, mobile security, attention to detail, rest api","['jira', 'communication', 'patient counseling', 'drug interactions', 'rest api']",pharmacist,pharmacy license,healthcare,"['pharmacy knowledge', 'patient counseling', 'drug interactions', 'attention to detail', 'communication', 'accuracy']",doctor of pharmacy|pharmacy license,"['attention to detail', 'communication']","['patient counseling', 'accuracy', 'drug interactions', 'deep learning', 'jira', 'mobile security', 'rest api', 'pharmacy knowledge']","['attention to detail', 'communication']","['pharmacy knowledge', 'patient counseling', 'drug interactions', 'accuracy']","['communication', 'attention to detail']","['pharmacy knowledge', 'drug interactions', 'patient counseling', 'accuracy']",0.7599999999999999,"['attention to detail', 'pharmacy knowledge', 'accuracy']","['drug interactions', 'communication', 'patient counseling']"
r000849,"education: bachelor's in cybersecurity experience: 4 years skills: problem solving, cloudformation, project management, reporting, security tools, node.js, security testing, vulnerability testing","['cloudformation', 'node.js', 'reporting', 'problem solving']",security tester,bachelor's in cybersecurity,technology,"['security testing', 'vulnerability testing', 'problem solving', 'security tools', 'risk assessment', 'reporting']",bachelor's in cybersecurity,['problem solving'],"['cloudformation', 'project management', 'reporting', 'security tools', 'node.js', 'security testing', 'vulnerability testing', 'risk assessment']",['problem solving'],"['security testing', 'vulnerability testing', 'security tools', 'risk assessment', 'reporting']",['problem solving'],"['vulnerability testing', 'security testing', 'reporting', 'risk assessment', 'security tools']",0.7333333333333334,"['security testing', 'vulnerability testing', 'risk assessment', 'security tools']","['reporting', 'problem solving']"
r000850,"education: bachelor's in computer science experience: 5 years skills: docker, aws, scripting, ci/cd, adaptability, angular, postgresql, linux","['kubernetes', 'docker', 'scripting', 'ci/cd']",devops engineer,bachelor's in computer science,technology,"['docker', 'kubernetes', 'aws', 'linux', 'ci/cd', 'scripting']",bachelor's in computer science|information technology certification,['adaptability'],"['docker', 'aws', 'scripting', 'ci/cd', 'angular', 'postgresql', 'linux', 'kubernetes']",[],"['docker', 'kubernetes', 'aws', 'linux', 'ci/cd', 'scripting']",[],"['kubernetes', 'aws', 'linux', 'ci/cd', 'docker', 'scripting']",0.6,"['aws', 'linux']","['docker', 'kubernetes', 'ci/cd', 'scripting']"
r000851,"education: doctor of veterinary medicine experience: 2 years skills: compassion, veterinary medicine, jenkins, diagnosis, communication, problem solving, animal care, cloudformation","['cloudformation', 'communication', 'web accessibility', 'jenkins']",veterinarian,doctor of veterinary medicine,veterinary,"['veterinary medicine', 'animal care', 'diagnosis', 'communication', 'compassion', 'problem solving']",doctor of veterinary medicine,"['communication', 'problem solving']","['compassion', 'veterinary medicine', 'jenkins', 'diagnosis', 'animal care', 'cloudformation', 'web accessibility']","['communication', 'problem solving']","['veterinary medicine', 'animal care', 'diagnosis', 'compassion']","['communication', 'problem solving']","['veterinary medicine', 'animal care', 'diagnosis', 'compassion']",0.7599999999999999,"['compassion', 'animal care', 'problem solving', 'veterinary medicine', 'diagnosis']",['communication']
r000852,"education: bachelor's in it experience: 4 years skills: oracle, backup recovery, agile, security, java, pandas, performance tuning, database administration","['backup recovery', 'database administration', 'sql', 'oracle', 'oracle database']",oracle dba,bachelor's in information technology,technology,"['oracle database', 'sql', 'database administration', 'performance tuning', 'backup recovery', 'security']",bachelor's in information technology|oracle certification,[],"['oracle', 'backup recovery', 'agile', 'security', 'java', 'pandas', 'performance tuning', 'database administration', 'oracle database', 'ci/cd', 'sql']",[],"['oracle database', 'sql', 'database administration', 'performance tuning', 'backup recovery', 'security']",[],"['security', 'database administration', 'sql', 'backup recovery', 'performance tuning', 'oracle database']",0.6,"['performance tuning', 'security']","['database administration', 'sql', 'oracle database', 'backup recovery']"
r000853,"education: bachelor's in computer science experience: 3 years skills: rest api, performance, analytics, mobile ui/ux, kibana, search technology, query dsl, elasticsearch","['query dsl', 'elasticsearch', 'kibana', 'performance']",elasticsearch developer,bachelor's in computer science,technology,"['elasticsearch', 'search technology', 'analytics', 'query dsl', 'kibana', 'performance']",bachelor's in computer science,[],"['rest api', 'performance', 'analytics', 'mobile ui/ux', 'kibana', 'search technology', 'query dsl', 'elasticsearch']",[],"['elasticsearch', 'search technology', 'analytics', 'query dsl', 'kibana', 'performance']",[],"['performance', 'query dsl', 'analytics', 'search technology', 'elasticsearch', 'kibana']",0.6,"['search technology', 'analytics']","['performance', 'elasticsearch', 'query dsl', 'kibana']"
r000854,"education: bachelor's in nursing experience: 0 years skills: attention to detail, web design, patient care, cloudformation, angular, compassion, medical knowledge, communication","['attention to detail', 'compassion', 'cloudformation', 'web design']",nurse,bachelor's in nursing,healthcare,"['patient care', 'medical knowledge', 'communication', 'critical thinking', 'compassion', 'attention to detail']",bachelor's in nursing|nursing license,"['attention to detail', 'communication', 'critical thinking']","['web design', 'patient care', 'cloudformation', 'angular', 'compassion', 'medical knowledge']","['communication', 'critical thinking', 'attention to detail']","['patient care', 'medical knowledge', 'compassion']","['communication', 'attention to detail', 'critical thinking']","['patient care', 'medical knowledge', 'compassion']",0.7499999999999999,"['patient care', 'medical knowledge', 'communication', 'critical thinking']","['attention to detail', 'compassion']"
r000855,"education: bachelor's in animation experience: 0 years skills: storytelling, timing, go, javascript, technical skills, creativity, animation software, drawing","['technical skills', 'timing', 'drawing', 'animation software']",animator,bachelor's in animation,creative & design,"['animation software', 'creativity', 'storytelling', 'drawing', 'timing', 'technical skills']",bachelor's in animation|animation certification,['creativity'],"['storytelling', 'timing', 'go', 'javascript', 'technical skills', 'animation software', 'drawing', 'ruby']",['creativity'],"['animation software', 'storytelling', 'drawing', 'timing', 'technical skills']",['creativity'],"['storytelling', 'drawing', 'timing', 'technical skills', 'animation software']",0.7333333333333334,"['creativity', 'storytelling']","['timing', 'technical skills', 'drawing', 'animation software']"
r000856,"education: master's in healthcare administration experience: 2 years skills: kotlin, confluence, ios, strategic planning, leadership, budget control, compliance, communication","['compliance', 'confluence', 'healthcare management', 'communication']",healthcare administrator,master's in healthcare administration,healthcare,"['healthcare management', 'budget control', 'leadership', 'compliance', 'strategic planning', 'communication']",master's in healthcare administration,"['leadership', 'communication']","['kotlin', 'confluence', 'ios', 'strategic planning', 'budget control', 'compliance', 'healthcare management']","['leadership', 'communication']","['healthcare management', 'budget control', 'compliance', 'strategic planning']","['communication', 'leadership']","['budget control', 'healthcare management', 'strategic planning', 'compliance']",0.7599999999999999,"['budget control', 'strategic planning', 'leadership']","['healthcare management', 'compliance', 'communication']"
r000857,"education: bachelor's in environmental engineering experience: 1 years skills: environmental assessment, analysis, sustainability, regulations, waste management, decision making, water systems, compliance","['compliance', 'decision making', 'regulations', 'sustainability']",environmental engineer,bachelor's in environmental engineering,engineering & manufacturing,"['environmental assessment', 'regulations', 'water systems', 'waste management', 'sustainability', 'analysis']",bachelor's in environmental engineering,['decision making'],"['environmental assessment', 'analysis', 'sustainability', 'regulations', 'waste management', 'water systems', 'compliance']",[],"['environmental assessment', 'regulations', 'water systems', 'waste management', 'sustainability', 'analysis']",[],"['environmental assessment', 'analysis', 'waste management', 'regulations', 'water systems', 'sustainability']",0.6,"['environmental assessment', 'analysis', 'water systems', 'waste management']","['regulations', 'sustainability']"
r000858,"education: bachelor's in it experience: 5 years skills: tableau, node.js, sql, encryption, etl, data visualization, power bi, database design","['sql', 'encryption', 'critical thinking', 'database design']",bi developer,bachelor's in information technology,data & analytics,"['power bi', 'tableau', 'sql', 'etl', 'database design', 'data visualization']",bachelor's in information technology|bachelor's in statistics,['critical thinking'],"['tableau', 'node.js', 'sql', 'encryption', 'etl', 'data visualization', 'power bi', 'database design']",[],"['power bi', 'tableau', 'sql', 'etl', 'database design', 'data visualization']",[],"['etl', 'power bi', 'sql', 'data visualization', 'tableau', 'database design']",0.6,"['etl', 'power bi', 'data visualization', 'tableau']","['sql', 'database design']"
r000859,"education: bachelor's in business experience: 4 years skills: team management, negotiation, flask, c#, presentation skills, decision making, business development, security protocols","['flask', 'real estate knowledge', 'negotiation', 'team management', 'c#']",real estate broker,bachelor's in business,construction & real estate,"['sales leadership', 'real estate knowledge', 'negotiation', 'business development', 'team management', 'communication']",bachelor's in business|broker license,"['decision making', 'communication']","['team management', 'negotiation', 'flask', 'c#', 'presentation skills', 'business development', 'security protocols', 'real estate knowledge', 'sales leadership']",['communication'],"['sales leadership', 'real estate knowledge', 'negotiation', 'business development', 'team management']",['communication'],"['real estate knowledge', 'team management', 'sales leadership', 'negotiation', 'business development']",0.7333333333333334,"['sales leadership', 'business development', 'communication']","['real estate knowledge', 'team management', 'negotiation']"
r000860,"education: master's in law experience: 5 years skills: compliance, docker, communication, privacy law, r, strategic planning, marketing, risk management","['r', 'docker', 'privacy law', 'tensorflow', 'risk management']",privacy officer,master's in law,technology,"['privacy law', 'gdpr', 'compliance', 'risk management', 'communication', 'strategic planning']",master's in law|privacy certification,['communication'],"['compliance', 'docker', 'privacy law', 'r', 'strategic planning', 'marketing', 'risk management', 'gdpr', 'tensorflow', 'sql']",['communication'],"['privacy law', 'gdpr', 'compliance', 'risk management', 'strategic planning']",['communication'],"['privacy law', 'risk management', 'strategic planning', 'gdpr', 'compliance']",0.7333333333333334,"['gdpr', 'communication', 'strategic planning', 'compliance']","['privacy law', 'risk management']"
r000861,"education: high school experience: 3 years skills: docker, problem solving, driving, safety, communication, tableau, navigation, customer service","['navigation', 'docker', 'communication', 'tableau']",taxi driver,high school,transportation,"['driving', 'navigation', 'customer service', 'problem solving', 'safety', 'communication']",high school|taxi license,"['problem solving', 'communication']","['docker', 'driving', 'safety', 'tableau', 'navigation', 'customer service']","['problem solving', 'communication']","['driving', 'navigation', 'customer service', 'safety']","['communication', 'problem solving']","['driving', 'customer service', 'safety', 'navigation']",0.7599999999999999,"['driving', 'customer service', 'safety', 'problem solving']","['communication', 'navigation']"
r000862,"education: bachelor's in business experience: 0 years skills: job posting, communication, problem solving, php, interviewing, recruitment, ats systems, networking","['interviewing', 'ats systems', 'php', 'communication']",talent acquisition specialist,bachelor's in business,human resources,"['recruitment', 'networking', 'interviewing', 'job posting', 'ats systems', 'communication']",bachelor's in human resources|bachelor's in business,"['communication', 'problem solving']","['job posting', 'php', 'interviewing', 'recruitment', 'ats systems', 'networking']",['communication'],"['recruitment', 'networking', 'interviewing', 'job posting', 'ats systems']",['communication'],"['ats systems', 'job posting', 'networking', 'interviewing', 'recruitment']",0.7333333333333334,"['job posting', 'recruitment', 'networking']","['interviewing', 'communication', 'ats systems']"
r000863,"education: bachelor's in communications experience: 0 years skills: problem solving, communication, sales, event planning, security architecture, relationship building, fundraising, scrum","['sales', 'event planning', 'scrum', 'problem solving']",fundraiser,bachelor's in communications,non-profit & charity,"['fundraising', 'relationship building', 'communication', 'sales', 'problem solving', 'event planning']",bachelor's in communications|fundraising certification,"['problem solving', 'communication']","['sales', 'event planning', 'security architecture', 'relationship building', 'fundraising', 'scrum']","['communication', 'problem solving']","['fundraising', 'relationship building', 'sales', 'event planning']","['communication', 'problem solving']","['relationship building', 'event planning', 'fundraising', 'sales']",0.7599999999999999,"['relationship building', 'fundraising', 'communication']","['event planning', 'sales', 'problem solving']"
r000864,"education: bachelor's in engineering experience: 2 years skills: security architecture, sql, query optimization, cloud platforms, python, analytics, responsive design, dbt","['cloud platforms', 'analytics', 'sql', 'data modeling']",analytics engineer,bachelor's in engineering,data & analytics,"['sql', 'python', 'dbt', 'data modeling', 'analytics', 'cloud platforms']",bachelor's in engineering|bachelor's in computer science,[],"['security architecture', 'sql', 'query optimization', 'cloud platforms', 'python', 'analytics', 'responsive design', 'dbt', 'data modeling']",[],"['sql', 'python', 'dbt', 'data modeling', 'analytics', 'cloud platforms']",[],"['cloud platforms', 'python', 'sql', 'data modeling', 'dbt', 'analytics']",0.6,"['dbt', 'python']","['sql', 'cloud platforms', 'data modeling', 'analytics']"
r000865,"education: law school graduate experience: 3 years skills: communication, numpy, writing, time management, problem solving, analysis, postgresql, attention to detail","['problem solving', 'time management', 'attention to detail', 'writing', 'responsive design']",law clerk,law school graduate,legal services,"['legal research', 'writing', 'analysis', 'attention to detail', 'communication', 'problem solving']",juris doctor|law school graduate,"['communication', 'time management', 'problem solving', 'attention to detail']","['numpy', 'writing', 'analysis', 'postgresql', 'responsive design', 'legal research']","['attention to detail', 'communication', 'problem solving']","['legal research', 'writing', 'analysis']","['communication', 'attention to detail', 'problem solving']","['analysis', 'writing', 'legal research']",0.7499999999999999,"['analysis', 'communication', 'legal research']","['attention to detail', 'writing', 'problem solving']"
r000866,"education: grant writing certification experience: 4 years skills: responsive design, pandas, problem solving, research, wireframing, mobile ui/ux, grant writing, seo","['seo', 'fundraising knowledge', 'problem solving', 'wireframing', 'organization']",grant writer,grant writing certification,non-profit & charity,"['grant writing', 'research', 'communication', 'organization', 'problem solving', 'fundraising knowledge']",bachelor's in writing|grant writing certification,"['problem solving', 'communication']","['responsive design', 'pandas', 'research', 'wireframing', 'mobile ui/ux', 'grant writing', 'seo', 'organization', 'fundraising knowledge']","['communication', 'problem solving']","['grant writing', 'research', 'organization', 'fundraising knowledge']","['communication', 'problem solving']","['research', 'grant writing', 'organization', 'fundraising knowledge']",0.7599999999999999,"['research', 'grant writing', 'communication']","['fundraising knowledge', 'organization', 'problem solving']"
r000867,"education: high school experience: 2 years skills: wordpress, graphic design, javascript, theme development, php, p&l management, plugin development, project management","['graphic design', 'tensorflow', 'css', 'theme development', 'p&l management']",wordpress developer,high school,technology,"['wordpress', 'php', 'javascript', 'css', 'plugin development', 'theme development']",high school|wordpress certification,[],"['wordpress', 'graphic design', 'javascript', 'theme development', 'php', 'p&l management', 'plugin development', 'project management', 'machine learning', 'css', 'tensorflow']",[],"['wordpress', 'php', 'javascript', 'css', 'plugin development', 'theme development']",[],"['theme development', 'css', 'plugin development', 'javascript', 'php', 'wordpress']",0.6,"['plugin development', 'javascript', 'php', 'wordpress']","['theme development', 'css']"
r000868,"education: license experience: 4 years skills: css, creativity, communication, precision, hair styling, customer service, technical skills, pandas","['technical skills', 'precision', 'hair styling', 'pandas']",hairstylist,license,beauty & wellness,"['hair styling', 'customer service', 'creativity', 'technical skills', 'communication', 'precision']",beauty school|license,"['creativity', 'communication', 'leadership']","['css', 'precision', 'hair styling', 'customer service', 'technical skills', 'pandas']","['creativity', 'communication']","['hair styling', 'customer service', 'technical skills', 'precision']","['creativity', 'communication']","['customer service', 'precision', 'hair styling', 'technical skills']",0.7599999999999999,"['creativity', 'customer service', 'communication']","['technical skills', 'precision', 'hair styling']"
r000869,"education: bachelor's in computer science experience: 4 years skills: performance, search technology, analytics, kibana, elasticsearch, query dsl, jenkins, graphic design","['jenkins', 'analytics', 'search technology', 'query dsl']",elasticsearch developer,bachelor's in computer science,technology,"['elasticsearch', 'search technology', 'analytics', 'query dsl', 'kibana', 'performance']",bachelor's in computer science,[],"['performance', 'search technology', 'analytics', 'kibana', 'elasticsearch', 'query dsl', 'jenkins', 'graphic design', 'p&l management']",[],"['elasticsearch', 'search technology', 'analytics', 'query dsl', 'kibana', 'performance']",[],"['performance', 'query dsl', 'analytics', 'search technology', 'elasticsearch', 'kibana']",0.6,"['performance', 'elasticsearch', 'kibana']","['search technology', 'analytics', 'query dsl']"
r000870,"education: juris doctor experience: 9 years skills: fairness, leadership, communication, security protocols, aws, sales, ethics, project management","['security protocols', 'leadership', 'aws', 'project management', 'decision making']",judge,juris doctor,legal services,"['legal expertise', 'decision making', 'ethics', 'fairness', 'communication', 'leadership']",juris doctor|bar license|judicial appointment,"['leadership', 'communication', 'decision making']","['fairness', 'security protocols', 'aws', 'sales', 'ethics', 'project management', 'legal expertise']","['decision making', 'communication', 'leadership']","['legal expertise', 'ethics', 'fairness']","['communication', 'decision making', 'leadership']","['legal expertise', 'ethics', 'fairness']",0.7499999999999999,"['legal expertise', 'communication', 'ethics', 'fairness']","['decision making', 'leadership']"
r000871,"education: nutritionist certification experience: 2 years skills: nutrition science, mongodb, teamwork, typescript, marketing, meal planning, research, counseling","['research', 'mongodb', 'marketing', 'counseling', 'meal planning']",nutritionist,nutritionist certification,agriculture & food,"['nutrition science', 'meal planning', 'client communication', 'research', 'health knowledge', 'counseling']",bachelor's in nutrition|nutritionist certification,"['teamwork', 'creativity']","['nutrition science', 'mongodb', 'typescript', 'marketing', 'meal planning', 'research', 'counseling', 'client communication', 'health knowledge']",[],"['nutrition science', 'meal planning', 'client communication', 'research', 'health knowledge', 'counseling']",[],"['research', 'health knowledge', 'nutrition science', 'client communication', 'counseling', 'meal planning']",0.6,"['health knowledge', 'client communication', 'nutrition science']","['research', 'meal planning', 'counseling']"
r000872,"education: bachelor's in meteorology experience: 0 years skills: meteorology, go, communication, research, aws, time management, weather analysis, data analysis","['go', 'research', 'problem solving', 'aws']",meteorologist,bachelor's in meteorology,science & research,"['meteorology', 'weather analysis', 'research', 'data analysis', 'problem solving', 'communication']",bachelor's in meteorology,"['communication', 'time management', 'problem solving']","['meteorology', 'go', 'research', 'aws', 'weather analysis', 'data analysis']","['problem solving', 'communication']","['meteorology', 'weather analysis', 'research', 'data analysis']","['communication', 'problem solving']","['meteorology', 'research', 'weather analysis', 'data analysis']",0.7599999999999999,"['weather analysis', 'meteorology', 'communication', 'data analysis']","['research', 'problem solving']"
r000873,"education: high school experience: 2 years skills: scala, communication, leadership, financial management, restaurant management, customer service, pytorch, staff management","['staff management', 'financial management', 'leadership', 'scala']",restaurant manager,high school,agriculture & food,"['restaurant management', 'leadership', 'customer service', 'financial management', 'staff management', 'communication']",high school|management experience,"['communication', 'leadership']","['scala', 'financial management', 'restaurant management', 'customer service', 'pytorch', 'staff management']","['leadership', 'communication']","['restaurant management', 'customer service', 'financial management', 'staff management']","['communication', 'leadership']","['customer service', 'financial management', 'staff management', 'restaurant management']",0.7599999999999999,"['customer service', 'communication', 'restaurant management']","['financial management', 'staff management', 'leadership']"
r000874,"education: culinary school experience: 4 years skills: culinary skills, training, terraform, food safety, css, rust, leadership, flutter","['creativity', 'food safety', 'leadership', 'adaptability', 'culinary skills']",sous chef,culinary school,hospitality & food service,"['culinary skills', 'kitchen management', 'leadership', 'training', 'food safety', 'creativity']",culinary school,"['leadership', 'creativity', 'adaptability']","['culinary skills', 'training', 'terraform', 'food safety', 'css', 'rust', 'flutter', 'kitchen management']","['leadership', 'creativity']","['culinary skills', 'kitchen management', 'training', 'food safety']","['creativity', 'leadership']","['training', 'kitchen management', 'culinary skills', 'food safety']",0.7599999999999999,"['training', 'kitchen management']","['food safety', 'culinary skills', 'creativity', 'leadership']"
r000875,"education: high school experience: 4 years skills: precision, problem solving, communication, mentoring, safety, business acumen, attention to detail, crane operation","['mentoring', 'crane operation', 'precision', 'safety']",crane operator,high school,transportation,"['crane operation', 'safety', 'precision', 'problem solving', 'communication', 'attention to detail']",high school|crane certification,"['problem solving', 'communication', 'attention to detail']","['precision', 'mentoring', 'safety', 'business acumen', 'crane operation', 'budget management']","['problem solving', 'communication', 'attention to detail']","['crane operation', 'safety', 'precision']","['communication', 'attention to detail', 'problem solving']","['safety', 'precision', 'crane operation']",0.7499999999999999,"['communication', 'attention to detail', 'problem solving']","['safety', 'precision', 'crane operation']"
r000876,"education: phd experience: 4 years skills: azure, statistical analysis, r, python, problem solving, html, web design, research","['statistical analysis', 'web design', 'azure', 'r']",academic data analyst,phd,data & analytics,"['statistical analysis', 'research', 'python', 'r', 'academic writing', 'problem solving']",master's in data science|phd,['problem solving'],"['azure', 'statistical analysis', 'r', 'python', 'html', 'web design', 'research', 'academic writing']",['problem solving'],"['statistical analysis', 'research', 'python', 'r', 'academic writing']",['problem solving'],"['research', 'python', 'r', 'statistical analysis', 'academic writing']",0.7333333333333334,"['research', 'python', 'academic writing', 'problem solving']","['r', 'statistical analysis']"
r000877,"education: bachelor's in business experience: 5 years skills: hr systems, process management, power bi, compliance, leadership, problem solving, data analysis, seo","['data analysis', 'financial analysis', 'problem solving', 'ruby', 'seo']",hr operations manager,bachelor's in business,human resources,"['hr systems', 'process management', 'compliance', 'data analysis', 'leadership', 'problem solving']",bachelor's in human resources|bachelor's in business,"['leadership', 'problem solving']","['hr systems', 'process management', 'power bi', 'compliance', 'data analysis', 'seo', 'financial analysis', 'ruby']","['leadership', 'problem solving']","['hr systems', 'process management', 'compliance', 'data analysis']","['leadership', 'problem solving']","['hr systems', 'compliance', 'process management', 'data analysis']",0.7599999999999999,"['hr systems', 'compliance', 'process management', 'leadership']","['data analysis', 'problem solving']"
r000878,"education: bachelor's in production experience: 4 years skills: deep learning, production management, postgresql, mobile security, creativity, machine learning, communication, problem solving","['network security', 'problem solving', 'communication', 'leadership', 'technical knowledge']",producer,bachelor's in production,entertainment & media,"['production management', 'leadership', 'technical knowledge', 'problem solving', 'communication', 'creativity']",bachelor's in production|bachelor's in communications,"['creativity', 'communication', 'problem solving', 'leadership']","['deep learning', 'production management', 'postgresql', 'mobile security', 'machine learning', 'technical knowledge', 'network security']","['leadership', 'problem solving', 'communication', 'creativity']","['production management', 'technical knowledge']","['creativity', 'communication', 'leadership', 'problem solving']","['technical knowledge', 'production management']",0.7066666666666666,"['creativity', 'production management']","['technical knowledge', 'problem solving', 'communication', 'leadership']"
r000879,"education: bachelor's in it experience: 1 years skills: responsive design, market research, performance tuning, informatica, react, data integration, data quality, etl","['data quality', 'sql', 'performance tuning', 'seo', 'data integration']",informatica developer,bachelor's in information technology,data & analytics,"['informatica', 'etl', 'data integration', 'sql', 'data quality', 'performance tuning']",bachelor's in information technology,[],"['responsive design', 'market research', 'performance tuning', 'informatica', 'react', 'data integration', 'data quality', 'etl', 'sql', 'seo']",[],"['informatica', 'etl', 'data integration', 'sql', 'data quality', 'performance tuning']",[],"['data quality', 'etl', 'sql', 'data integration', 'informatica', 'performance tuning']",0.6,"['etl', 'informatica']","['data quality', 'sql', 'performance tuning', 'data integration']"
r000880,"education: mba experience: 9 years skills: vision setting, change management, serverless, culture building, executive communication, ios, organizational development, java","['ios', 'culture building', 'strategic leadership', 'change management']",chief people officer,business administration,human resources,"['strategic leadership', 'organizational development', 'culture building', 'change management', 'executive communication', 'vision setting']",master's in business|business administration,[],"['vision setting', 'change management', 'serverless', 'culture building', 'executive communication', 'ios', 'organizational development', 'java', 'strategic leadership']",[],"['strategic leadership', 'organizational development', 'culture building', 'change management', 'executive communication', 'vision setting']",[],"['organizational development', 'executive communication', 'change management', 'strategic leadership', 'culture building', 'vision setting']",0.6,"['executive communication', 'organizational development', 'vision setting']","['change management', 'strategic leadership', 'culture building']"
r000881,"education: master's in public administration experience: 5 years skills: public administration, policy knowledge, oracle, pytorch, security architecture, flask, budget management, pandas","['pandas', 'public administration', 'policy knowledge', 'leadership', 'oracle']",public administrator,master's in public administration,government & public service,"['public administration', 'leadership', 'policy knowledge', 'budget management', 'strategic planning', 'communication']",master's in public administration|public administration,"['communication', 'leadership']","['public administration', 'policy knowledge', 'oracle', 'pytorch', 'security architecture', 'flask', 'budget management', 'pandas', 'strategic planning']","['leadership', 'communication']","['public administration', 'policy knowledge', 'budget management', 'strategic planning']","['communication', 'leadership']","['policy knowledge', 'public administration', 'budget management', 'strategic planning']",0.7599999999999999,"['communication', 'strategic planning', 'budget management']","['policy knowledge', 'public administration', 'leadership']"
